team_side,team_name,formation,player_id,player_name,full_name,position,jersey_number,is_starter,is_captain,country,substitute_in,substitute_out,rating,minutes_played,goals,assists,total_passes,accurate_passes,key_passes,total_crosses,accurate_crosses,total_long_balls,accurate_long_balls,big_chances_created,big_chances_missed,xg,xa,touches,possession_lost,dispossessed,shots_on_target,shots_off_target,shots_blocked,dribbles_attempted,dribbles_won,tackles,interceptions,clearances,duels_won,duels_lost,aerial_duels_won,aerial_duels_lost,was_fouled,fouls,offsides,saves,goals_prevented,yellow_cards,red_cards
home,Acassuso,4-2-3-1,974722,L. Romero,Lázaro Romero,F,9,True,False,Argentina,,67.0,8.5,73.0,2.0,0.0,5.0,3.0,,0.0,0.0,0.0,0.0,,,1.18,0.0,19.0,9.0,1.0,2.0,1.0,,2.0,2.0,0.0,,0.0,5.0,13.0,2.0,7.0,3.0,2.0,2.0,,,,
home,Acassuso,4-2-3-1,986502,D. Escalante,David Escalante,F,19,False,False,Argentina,67.0,,6.6,20.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,,,0.02,0.01,8.0,2.0,,0.0,,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,
home,Acassuso,4-2-3-1,2065619,L. Rey,Lucas Rey,M,18,False,False,Argentina,67.0,,6.5,20.0,0.0,0.0,4.0,4.0,,0.0,0.0,1.0,1.0,,,0.01,0.0,10.0,2.0,1.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,,,,
home,Acassuso,4-2-3-1,992116,P. Pérez,Patricio Pérez,M,17,False,False,Argentina,81.0,,,7.0,0.0,0.0,5.0,4.0,,1.0,1.0,0.0,0.0,,,0.0,0.0,10.0,3.0,1.0,0.0,,,2.0,1.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,
home,Acassuso,4-2-3-1,2077670,M. Schlotthauer,Martín Schlotthauer,M,20,False,False,Argentina,81.0,,,7.0,0.0,0.0,4.0,3.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,5.0,1.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
home,Acassuso,4-2-3-1,1524040,N. P. Mediza,Nahuel Petillo Mediza,M,15,False,False,Uruguay,82.0,,,5.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
home,Acassuso,4-2-3-1,1182407,C. Atamañuk,César Atamañuk,G,12,False,False,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home,Acassuso,4-2-3-1,1485504,S. Bellatti,Santiago Bellatti,D,13,False,False,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home,Acassuso,4-2-3-1,2044376,S. Borges,Santiago Borges,D,14,False,False,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home,Acassuso,4-2-3-1,1512575,J. Raccio,Jonathan Raccio,M,16,False,False,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
away,Chaco For Ever,4-2-3-1,1182418,G. Canuto,Gastón Canuto,G,1,True,False,Argentina,,,5.7,50.0,0.0,0.0,5.0,4.0,,0.0,0.0,3.0,2.0,,,0.0,0.0,5.0,1.0,,0.0,,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,,,1.0
