player_id,player_name,team_side,team_name,x,y
1182422,J. Ghirardello,home,Acassuso,35,91
1182422,J. Ghirardello,home,Acassuso,43,56
1182422,J. Ghirardello,home,Acassuso,53,71
1182422,J. Ghirardello,home,Acassuso,37,86
1182422,J. Ghirardello,home,Acassuso,40,81
1182422,J. Ghirardello,home,Acassuso,6,84
1182422,J. Ghirardello,home,Acassuso,11,68
1182422,J. Ghirardello,home,Acassuso,28,45
1182422,J. Ghirardello,home,Acassuso,27,38
1182422,J. Ghirardello,home,Acassuso,32,82
1182422,J. Ghirardello,home,Acassuso,40,81
1182422,J. Ghirardello,home,Acassuso,12,29
1182422,J. Ghirardello,home,Acassuso,27,34
1182422,J. Ghirardello,home,Acassuso,31,70
1182422,J. Ghirardello,home,Acassuso,11,71
1182422,J. Ghirardello,home,Acassuso,22,84
1182422,J. Ghirardello,home,Acassuso,35,93
1182422,J. Ghirardello,home,Acassuso,21,34
1182422,J. Ghirardello,home,Acassuso,35,86
1182422,J. Ghirardello,home,Acassuso,33,71
1182422,J. Ghirardello,home,Acassuso,32,30
1182422,J. Ghirardello,home,Acassuso,31,35
1182422,J. Ghirardello,home,Acassuso,19,38
1182422,J. Ghirardello,home,Acassuso,25,40
1182422,J. Ghirardello,home,Acassuso,19,34
1182422,J. Ghirardello,home,Acassuso,11,70
1182422,J. Ghirardello,home,Acassuso,17,89
1182422,J. Ghirardello,home,Acassuso,24,43
1182422,J. Ghirardello,home,Acassuso,20,68
1182422,J. Ghirardello,home,Acassuso,17,81
1182422,J. Ghirardello,home,Acassuso,30,83
1182422,J. Ghirardello,home,Acassuso,12,64
1182422,J. Ghirardello,home,Acassuso,29,83
1182422,J. Ghirardello,home,Acassuso,24,81
1182422,J. Ghirardello,home,Acassuso,30,76
1182422,J. Ghirardello,home,Acassuso,22,70
1182422,J. Ghirardello,home,Acassuso,25,65
1182422,J. Ghirardello,home,Acassuso,25,45
1182422,J. Ghirardello,home,Acassuso,21,68
1182422,J. Ghirardello,home,Acassuso,12,75
1182422,J. Ghirardello,home,Acassuso,34,54
1182422,J. Ghirardello,home,Acassuso,36,80
